"","countryName","_1976_1980","_1981_1985","_1986_1990","_1991_1995","_1996_2000","_2001_2005","_2006_2010","_2011_2015","africa"
"127","Guatemala",-100,-100,59.6,-100,54.8,-100,54.9,48.7,"no"
"128","Guinea",-100,-100,-100,46.1,-100,43,39.4,33.7,"yes"
"129","Guinea-Bissau",-100,-100,-100,43.6,-100,35.6,50.7,-100,"yes"
"130","Guyana",-100,-100,-100,-100,44.5,-100,-100,-100,"no"
"131","Haiti",-100,-100,-100,-100,-100,-100,-100,40.9,"no"
"132","Honduras",-100,-100,57.4,55.5,55.3,59.5,53.4,50.1,"no"
"133","Hong Kong SAR, China",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"134","Hungary",-100,-100,25,27.9,-100,34.7,29.4,30.9,"no"
"135","Iceland",-100,-100,-100,-100,-100,29,26.2,25.6,"no"
"136","India",-100,-100,-100,-100,-100,-100,-100,35.2,"no"
"137","Indonesia",-100,-100,-100,-100,-100,-100,-100,39.5,"no"
"138","Iran, Islamic Rep.",-100,-100,43.6,43,44.1,43.6,42,38.8,"no"
"139","Iraq",-100,-100,-100,-100,-100,-100,28.6,29.5,"no"
"140","Ireland",-100,-100,-100,-100,-100,33.8,32.3,31.9,"no"
"141","Isle of Man",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"142","Israel",36.3,-100,36.5,35.5,38.1,41.7,42.5,41.4,"no"
"143","Italy",-100,-100,-100,-100,-100,33.8,34.3,34.7,"no"
"144","Jamaica",-100,-100,41.1,35.7,44.1,45.5,-100,-100,"no"
"145","Japan",-100,-100,-100,-100,-100,-100,32.1,-100,"no"
"146","Jordan",-100,-100,36.1,43.4,36.4,37,33.7,-100,"no"
"147","Kazakhstan",-100,-100,-100,-100,35.4,29.6,28.6,26.5,"no"
"148","Kenya",-100,-100,-100,43.9,46.3,48.5,-100,-100,"yes"
"149","Kiribati",-100,-100,-100,-100,-100,-100,37,-100,"no"
"150","Korea, Dem. People’s Rep.",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"151","Korea, Rep.",-100,-100,-100,-100,-100,-100,32,31.6,"no"
"152","Kosovo",-100,-100,-100,-100,-100,31.2,33.3,26.7,"no"
"153","Kuwait",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"154","Kyrgyz Republic",-100,-100,-100,53.7,31,32.6,30.1,29,"no"
"155","Lao PDR",-100,-100,-100,34.3,34.9,32.6,35.4,36.4,"no"
"156","Latvia",-100,-100,22.5,31,31.6,39,35,35.1,"no"
"157","Lebanon",-100,-100,-100,-100,-100,-100,-100,31.8,"no"
"158","Lesotho",-100,-100,56,63.2,-100,51.6,54.2,-100,"yes"
"159","Liberia",-100,-100,-100,-100,-100,-100,36.5,33.2,"yes"
"160","Libya",-100,-100,-100,-100,-100,-100,-100,-100,"yes"
"161","Liechtenstein",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"162","Lithuania",-100,-100,22.5,33.6,-100,35.3,33.6,37.7,"no"
"163","Luxembourg",-100,-100,-100,-100,-100,30.8,30.5,31.2,"no"
"164","Macao SAR, China",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"165","Macedonia, FYR",-100,-100,-100,-100,-100,-100,42.8,35.6,"no"
"166","Madagascar",46.8,-100,-100,45.3,38.6,39.9,42.4,42.7,"yes"
"167","Malawi",-100,-100,-100,-100,65.8,39.9,46.1,-100,"yes"
"168","Malaysia",-100,48.6,46.2,48.5,49.2,46,46.3,-100,"no"
"169","Maldives",-100,-100,-100,-100,-100,41.3,38.4,-100,"no"
"170","Mali",-100,-100,-100,50.4,-100,39.9,33,-100,"yes"
"171","Malta",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"172","Marshall Islands",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"173","Mauritania",-100,-100,43.9,37.8,39,40.2,35.7,32.4,"yes"
"174","Mauritius",-100,-100,-100,-100,-100,-100,35.7,35.8,"yes"
"175","Mexico",-100,49,-100,51.7,51.7,46,48.1,48.2,"no"
"176","Micronesia, Fed. Sts.",-100,-100,-100,-100,-100,42.4,-100,40.1,"no"
"177","Moldova",-100,-100,-100,-100,36.4,36.3,32,27,"no"
"178","Monaco",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"179","Mongolia",-100,-100,-100,33.2,30.3,32.9,33.1,32,"no"
"180","Montenegro",-100,-100,-100,-100,-100,30.2,28.9,31.9,"no"
"181","Morocco",-100,39.2,39.2,-100,40.6,-100,40.7,-100,"yes"
"182","Mozambique",-100,-100,-100,-100,44.4,47,45.6,-100,"yes"
"183","Myanmar",-100,-100,-100,-100,-100,-100,-100,38.1,"no"
"184","Namibia",-100,-100,-100,-100,-100,63.3,61,-100,"yes"
"185","Nauru",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"186","Nepal",-100,-100,-100,35.2,-100,43.8,32.8,-100,"no"
"187","Netherlands",-100,-100,-100,-100,-100,29,27.9,28.6,"no"
"188","New Caledonia",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"189","New Zealand",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"190","Nicaragua",-100,-100,-100,57.4,54.4,49.2,44.2,46.6,"no"
"191","Niger",-100,-100,-100,41.5,-100,44.4,37.3,34,"yes"
"192","Nigeria",-100,38.7,-100,45,51.9,40.1,43,-100,"yes"
"193","Northern Mariana Islands",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"194","Norway",-100,-100,-100,-100,-100,30.6,25.7,26.8,"no"
"195","Oman",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"196","Pakistan",-100,-100,33.3,-100,33.1,32.7,29.8,30.7,"no"
"197","Palau",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"198","Panama",48.7,-100,58.9,57.8,57.7,54,51.9,51,"no"
"199","Papua New Guinea",-100,-100,-100,-100,55.4,-100,41.8,-100,"no"
"200","Paraguay",-100,-100,40.8,58.2,54.6,51.4,51.8,48,"no"
"201","Peru",-100,-100,-100,-100,50.8,51.8,46.2,44.3,"no"
"202","Philippines",-100,41,40.8,42.9,42.8,41.5,41.8,40.1,"no"
"203","Poland",-100,-100,-100,26.7,33,34.5,33.2,32.1,"no"
"204","Portugal",-100,-100,-100,-100,-100,38.5,35.8,35.6,"no"
"205","Puerto Rico",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"206","Qatar",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"207","Romania",-100,-100,-100,-100,29.3,29.8,28.2,27.5,"no"
"208","Russian Federation",-100,-100,-100,48.4,37.1,41.3,39.5,37.7,"no"
"209","Rwanda",-100,28.9,-100,-100,48.5,52,51.3,50.4,"yes"
"210","Samoa",-100,-100,-100,-100,-100,-100,42,-100,"no"
"211","San Marino",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"212","Sao Tome and Principe",-100,-100,-100,-100,32.1,-100,30.8,-100,"yes"
"213","Saudi Arabia",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"214","Senegal",-100,-100,-100,41.4,-100,39.2,-100,40.3,"yes"
"215","Serbia",-100,-100,-100,-100,-100,33.4,29.6,29.1,"no"
"216","Seychelles",-100,-100,-100,-100,-100,-100,-100,46.8,"yes"
"217","Sierra Leone",-100,-100,-100,-100,-100,40.2,-100,34,"yes"
"218","Singapore",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"219","Sint Maarten (Dutch part)",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"220","Slovak Republic",-100,-100,19.5,19.5,25.8,29.3,27.3,26.1,"no"
"221","Slovenia",-100,-100,23.6,29.2,-100,24.6,24.9,25.7,"no"
"222","Solomon Islands",-100,-100,-100,-100,-100,46.1,-100,37,"no"
"223","Somalia",-100,-100,-100,-100,-100,-100,-100,-100,"yes"
"224","South Africa",-100,-100,-100,59.3,57.8,-100,63,63.4,"yes"
"225","South Sudan",-100,-100,-100,-100,-100,-100,46.3,-100,"yes"
"226","Spain",-100,-100,-100,-100,-100,32.4,35.3,36,"no"
"227","Sri Lanka",-100,32.5,32.5,35.4,-100,41,36.4,39.2,"no"
"228","St. Kitts and Nevis",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"229","St. Lucia",-100,-100,-100,42.6,-100,-100,-100,-100,"no"
"230","St. Martin (French part)",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"231","St. Vincent and the Grenadines",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"232","Sudan",-100,-100,-100,-100,-100,-100,35.4,-100,"yes"
"233","Suriname",-100,-100,-100,-100,57.6,-100,-100,-100,"no"
"234","Swaziland",-100,-100,-100,60.5,53.1,-100,51.5,-100,"yes"
"235","Sweden",-100,-100,-100,-100,-100,26.8,26.5,27.2,"no"
"236","Switzerland",-100,-100,-100,-100,-100,-100,32.5,32.5,"no"
"237","Syrian Arab Republic",-100,-100,-100,-100,-100,35.8,-100,-100,"no"
"238","Tajikistan",-100,-100,-100,-100,29.5,33.6,30.8,34,"no"
"239","Tanzania",-100,-100,-100,35.3,37.3,-100,40.3,37.8,"yes"
"240","Thailand",-100,45.2,45.3,43.5,42.8,42.5,39.4,37.8,"no"
"241","Timor-Leste",-100,-100,-100,-100,-100,35.9,30.3,-100,"no"
"242","Togo",-100,-100,-100,-100,-100,-100,42.2,43,"yes"
"243","Tonga",-100,-100,-100,-100,-100,37.7,37.5,-100,"no"
"244","Trinidad and Tobago",-100,-100,42.6,40.3,-100,-100,-100,-100,"no"
"245","Tunisia",-100,43.4,40.2,41.7,40.8,37.7,35.8,-100,"yes"
"246","Turkey",-100,-100,43.5,41.3,-100,42.6,38.8,41.2,"no"
"247","Turkmenistan",-100,-100,-100,-100,40.8,-100,-100,-100,"no"
"248","Turks and Caicos Islands",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"249","Tuvalu",-100,-100,-100,-100,-100,-100,39.1,-100,"no"
"250","Uganda",-100,-100,44.4,41.4,43,42.9,44.2,41,"yes"
"251","Ukraine",-100,-100,-100,39.3,35.2,29,24.8,25.5,"no"
"252","United Arab Emirates",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"253","United Kingdom",-100,-100,-100,-100,-100,34.3,34.4,34.1,"no"
"254","United States",34.6,-100,37.5,40.2,40.4,40.5,40.4,41,"no"
"255","Uruguay",-100,43.7,42.4,-100,-100,-100,45.3,41.7,"no"
"256","Uzbekistan",-100,-100,-100,-100,36.1,35.3,-100,-100,"no"
"257","Vanuatu",-100,-100,-100,-100,-100,-100,37.3,-100,"no"
"258","Venezuela, RB",-100,55.6,45.3,47.8,48.3,52.4,46.9,-100,"no"
"259","Vietnam",-100,-100,-100,35.7,35.4,36.8,39.3,34.8,"no"
"260","Virgin Islands (U.S.)",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"261","West Bank and Gaza",-100,-100,-100,-100,-100,34.7,36.1,34.4,"no"
"262","Yemen, Rep.",-100,-100,-100,-100,35,34.7,-100,36.7,"no"
"263","Zambia",-100,-100,-100,52.6,49.1,54.3,55.6,57.1,"yes"
"264","Zimbabwe",-100,-100,-100,-100,-100,-100,-100,43.2,"yes"
